# SIMULATED ACADEMIC DATA - FOR PLATFORM SIMULATION AND TESTING ONLY
donor_type,food_category,meal_type,day_of_week,event_type,prepared_quantity,expected_people,actual_people,previous_surplus,preparation_time,surplus_quantity
caterer,meat_poultry,snack,3,none,210.11,491,414,28.91,3.85,42.76
caterer,meat_poultry,snack,5,none,285.18,375,284,40.46,3.07,102.47
other,dairy,dinner,4,wedding,260.81,409,323,13.41,1.94,52.02
caterer,bakery,breakfast,5,weekend_rush,266.92,604,403,31.22,1.83,125.96
restaurant,meat_poultry,dinner,0,none,76.32,174,123,7.63,7.92,27.35
hotel,bakery,breakfast,3,none,50.79,69,63,0.5,7.24,7.76
hotel,bakery,lunch,4,none,173.03,258,264,16.41,1.9,0.95
hotel,fresh_produce,snack,3,corporate,306.32,408,203,8.58,1.18,203.59
caterer,fresh_produce,all_day,4,holiday,94.57,210,84,1.22,1.4,74.87
hotel,fresh_produce,dinner,1,none,374.37,614,566,36.67,2.08,32.84
hotel,dairy,snack,5,holiday,48.36,63,41,3.84,6.13,27.28
restaurant,meat_poultry,breakfast,4,corporate,145.91,217,122,9.02,7.54,71.34
other,cooked_meals,snack,2,weekend_rush,163.58,385,324,3.97,5.61,21.95
restaurant,dairy,snack,4,holiday,191.79,241,186,13.1,3.9,60.0
restaurant,cooked_meals,breakfast,0,none,119.74,196,183,0.68,5.34,7.94
supermarket,fresh_produce,breakfast,6,none,351.33,556,397,4.18,4.96,96.85
restaurant,cooked_meals,snack,3,holiday,232.17,310,149,11.11,4.29,151.1
restaurant,fresh_produce,dinner,1,wedding,334.89,469,415,43.96,7.8,46.24
other,other,snack,5,none,180.61,226,179,9.26,7.12,35.58
caterer,meat_poultry,breakfast,2,none,187.15,284,258,25.33,3.68,24.09
other,cooked_meals,breakfast,3,none,331.79,454,469,27.61,6.78,0.0
supermarket,bakery,breakfast,4,none,384.02,622,622,32.93,2.29,4.17
other,meat_poultry,lunch,4,none,106.17,159,143,2.94,2.42,7.87
hotel,other,snack,6,holiday,381.92,506,382,0.42,1.18,109.22
other,dairy,breakfast,3,none,63.15,82,61,4.97,4.16,19.85
supermarket,dairy,breakfast,0,weekend_rush,393.93,548,415,9.81,1.41,96.42
other,dairy,breakfast,1,weekend_rush,54.63,106,103,0.45,3.32,4.16
restaurant,fresh_produce,snack,0,none,395.65,949,757,6.81,4.43,95.25
other,bakery,snack,5,wedding,98.96,155,152,6.49,5.39,0.0
hotel,dairy,dinner,6,none,352.24,481,443,51.68,2.27,30.78
hotel,cooked_meals,snack,6,none,297.99,542,528,42.79,7.23,13.88
hotel,other,all_day,5,none,398.68,877,879,9.49,7.64,7.53
other,cooked_meals,all_day,0,none,154.66,296,217,21.78,3.45,57.98
restaurant,meat_poultry,breakfast,6,none,236.71,489,342,9.27,5.86,79.53
other,bakery,all_day,1,none,69.59,120,99,7.24,2.28,13.06
supermarket,cooked_meals,breakfast,5,weekend_rush,112.18,256,239,2.16,5.02,6.93
restaurant,dairy,lunch,0,none,67.64,134,135,1.23,5.12,3.76
supermarket,meat_poultry,dinner,6,none,304.95,398,408,9.09,2.73,0.0
supermarket,bakery,all_day,4,none,182.07,281,245,7.74,3.8,18.06
restaurant,fresh_produce,breakfast,4,corporate,374.45,917,389,38.14,7.52,243.53
supermarket,meat_poultry,lunch,4,none,354.31,844,704,11.73,1.97,57.63
other,fresh_produce,all_day,3,none,366.46,880,498,34.1,6.63,177.37
other,meat_poultry,lunch,2,holiday,77.52,168,128,11.22,4.0,20.09
caterer,cooked_meals,dinner,1,none,98.5,187,196,7.73,7.45,1.3
restaurant,fresh_produce,breakfast,3,holiday,341.53,721,503,3.2,4.4,121.72
hotel,cooked_meals,snack,3,none,227.45,295,247,31.11,1.68,59.1
other,other,breakfast,6,none,265.38,439,379,34.29,1.96,34.34
supermarket,meat_poultry,dinner,2,weekend_rush,138.91,186,150,15.46,5.74,23.78
caterer,dairy,dinner,2,none,40.38,58,42,1.02,6.86,14.25
other,bakery,lunch,6,corporate,214.22,333,174,22.8,1.74,118.01
caterer,other,all_day,4,none,354.13,513,430,2.51,7.73,67.1
supermarket,fresh_produce,dinner,5,weekend_rush,133.34,187,182,0.21,4.81,2.03
restaurant,cooked_meals,snack,5,none,217.81,377,320,4.52,7.88,48.69
supermarket,bakery,all_day,5,holiday,221.42,377,160,28.34,5.71,131.58
hotel,bakery,lunch,6,corporate,214.89,406,266,1.76,2.43,101.74
other,cooked_meals,breakfast,1,none,367.7,498,485,3.73,6.07,14.79
restaurant,bakery,breakfast,3,none,152.56,277,198,0.81,7.96,56.61
supermarket,cooked_meals,lunch,0,none,324.91,605,376,41.98,7.06,137.43
hotel,other,lunch,1,none,395.76,667,515,50.91,1.68,102.64
other,cooked_meals,breakfast,2,none,382.54,852,867,3.52,2.57,0.0
other,other,dinner,3,holiday,300.22,488,324,44.75,3.2,107.96
restaurant,other,dinner,6,none,46.8,61,49,0.55,7.69,7.36
hotel,meat_poultry,all_day,3,none,203.48,419,361,29.94,5.24,38.69
caterer,cooked_meals,all_day,3,corporate,189.27,297,251,23.56,5.58,50.05
restaurant,fresh_produce,breakfast,5,none,172.57,240,212,5.43,2.83,20.76
hotel,cooked_meals,breakfast,6,wedding,344.11,770,722,26.23,5.34,42.9
other,cooked_meals,dinner,6,wedding,260.64,449,334,27.23,7.47,85.86
restaurant,bakery,all_day,5,wedding,372.0,574,496,13.49,3.98,66.34
hotel,cooked_meals,dinner,3,wedding,284.51,522,513,34.18,2.26,11.74
caterer,cooked_meals,all_day,6,none,176.7,411,286,9.55,1.61,85.64
restaurant,meat_poultry,breakfast,0,none,342.59,612,477,5.73,4.99,84.64
supermarket,dairy,all_day,4,none,127.3,294,243,11.45,2.41,24.48
restaurant,meat_poultry,snack,1,none,241.59,382,332,7.85,7.11,35.19
supermarket,fresh_produce,lunch,0,wedding,119.47,183,183,9.92,3.09,2.81
caterer,bakery,dinner,2,corporate,336.52,423,294,27.49,1.29,155.46
restaurant,bakery,breakfast,1,none,167.24,264,154,16.6,2.53,81.58
supermarket,cooked_meals,breakfast,1,none,164.58,371,408,19.89,3.1,0.0
supermarket,fresh_produce,breakfast,4,wedding,278.66,417,458,0.92,3.51,0.0
other,bakery,snack,1,none,296.68,463,323,25.53,3.39,108.25
other,other,all_day,3,none,144.58,199,208,18.53,3.38,1.92
hotel,meat_poultry,dinner,4,corporate,342.07,723,607,27.47,5.45,72.56
other,other,breakfast,1,none,142.39,228,185,20.36,6.03,32.27
caterer,other,snack,6,none,40.07,58,52,3.39,5.2,1.83
other,cooked_meals,lunch,4,wedding,388.53,562,518,11.19,5.67,39.2
restaurant,fresh_produce,breakfast,1,none,147.09,242,198,1.87,4.05,28.24
supermarket,meat_poultry,all_day,3,none,374.49,486,522,2.06,4.32,0.0
caterer,cooked_meals,lunch,5,none,301.45,507,299,21.86,4.0,196.22
caterer,bakery,snack,3,none,94.08,156,158,0.74,6.84,0.0
other,bakery,all_day,1,none,180.25,433,253,8.99,3.21,79.5
other,other,snack,4,none,311.31,395,269,29.45,4.19,104.79
hotel,cooked_meals,dinner,5,none,56.34,99,103,2.68,2.54,0.0
hotel,cooked_meals,lunch,6,none,26.09,33,25,3.42,7.53,1.49
caterer,other,snack,0,none,354.34,537,461,16.46,2.41,67.55
caterer,dairy,snack,4,none,99.43,146,153,12.64,2.44,0.0
hotel,other,all_day,6,none,234.86,575,475,31.19,1.61,48.05
caterer,meat_poultry,snack,5,wedding,65.88,83,80,8.04,1.69,0.0
caterer,meat_poultry,breakfast,6,corporate,310.82,402,249,2.97,3.71,159.86
hotel,cooked_meals,snack,5,weekend_rush,264.26,384,330,31.78,4.04,58.55
other,meat_poultry,lunch,2,weekend_rush,103.13,194,179,9.41,4.11,16.33
caterer,cooked_meals,snack,3,none,200.24,428,442,17.52,7.19,0.0
supermarket,bakery,snack,0,none,242.41,482,396,11.3,4.6,52.53
restaurant,fresh_produce,lunch,0,corporate,348.46,597,560,36.44,1.58,24.19
restaurant,cooked_meals,snack,0,none,31.56,45,42,0.31,6.76,4.88
other,meat_poultry,breakfast,1,holiday,267.32,413,249,39.03,2.41,112.15
restaurant,fresh_produce,all_day,3,none,331.81,823,905,22.41,2.78,0.0
hotel,fresh_produce,dinner,4,none,293.77,572,487,18.88,1.19,53.03
caterer,cooked_meals,breakfast,4,corporate,359.46,627,594,47.85,7.26,45.14
supermarket,dairy,all_day,3,weekend_rush,385.58,638,675,55.46,2.0,0.0
supermarket,other,breakfast,4,holiday,289.42,455,323,31.69,3.5,83.08
other,fresh_produce,snack,3,none,135.22,171,148,18.45,1.04,23.08
supermarket,dairy,dinner,6,none,251.87,324,193,8.05,7.07,98.39
hotel,bakery,snack,4,none,69.11,163,153,0.94,5.68,4.41
supermarket,bakery,dinner,2,none,360.38,875,700,18.27,5.94,65.01
other,bakery,all_day,0,none,74.55,157,128,0.89,5.95,9.16
hotel,bakery,all_day,1,holiday,241.58,351,263,14.29,7.07,83.11
hotel,dairy,lunch,4,none,282.25,384,307,7.33,2.87,70.04
caterer,meat_poultry,snack,6,none,154.32,293,322,7.16,7.82,0.0
supermarket,cooked_meals,lunch,6,none,393.67,792,555,5.23,5.74,137.65
supermarket,other,all_day,1,none,170.26,252,230,23.95,5.74,20.91
hotel,dairy,all_day,3,none,103.63,206,195,11.23,1.05,12.2
other,dairy,all_day,5,weekend_rush,382.77,531,524,29.05,6.44,2.29
caterer,other,all_day,2,wedding,89.49,181,180,11.63,4.11,4.74
hotel,dairy,dinner,3,none,296.27,437,297,6.95,6.26,127.96
other,dairy,dinner,4,none,294.44,626,403,1.2,4.14,112.13
other,cooked_meals,breakfast,6,none,142.67,283,266,18.57,5.95,11.1
hotel,other,lunch,5,wedding,186.69,449,325,22.59,2.76,62.98
supermarket,other,all_day,4,none,131.21,212,164,3.22,1.73,23.04
hotel,cooked_meals,snack,1,none,197.56,446,317,18.55,1.53,88.45
supermarket,meat_poultry,dinner,1,none,71.55,141,109,8.96,5.97,15.78
hotel,bakery,all_day,5,wedding,149.57,187,197,0.55,5.88,0.0
hotel,bakery,all_day,6,weekend_rush,390.73,916,726,37.94,1.9,119.1
caterer,bakery,breakfast,2,none,35.18,64,51,0.29,3.99,14.67
caterer,other,all_day,6,wedding,138.43,226,217,14.17,5.64,0.0
caterer,cooked_meals,all_day,5,wedding,58.96,145,131,8.69,4.46,5.75
supermarket,other,dinner,5,none,237.65,522,458,23.94,3.34,30.08
hotel,other,all_day,3,none,250.19,383,203,28.26,6.09,146.63
caterer,fresh_produce,all_day,5,none,380.16,680,599,11.57,7.99,57.52
restaurant,bakery,breakfast,6,weekend_rush,387.29,672,515,41.57,5.81,108.84
supermarket,cooked_meals,snack,0,none,69.35,103,105,8.46,5.05,1.24
other,cooked_meals,lunch,1,wedding,327.49,489,410,0.94,4.02,66.16
other,fresh_produce,all_day,5,none,319.79,450,374,23.2,1.1,54.16
supermarket,dairy,snack,3,weekend_rush,75.71,115,106,7.76,5.16,3.69
supermarket,dairy,snack,2,weekend_rush,82.86,206,216,10.92,2.38,0.0
supermarket,bakery,snack,3,none,379.37,565,555,5.29,2.01,4.26
restaurant,cooked_meals,dinner,0,none,180.92,311,236,2.36,2.66,59.87
supermarket,cooked_meals,breakfast,1,none,277.31,412,437,18.95,7.24,0.0
hotel,bakery,breakfast,4,none,22.6,38,38,4.44,2.93,3.83
restaurant,dairy,dinner,4,holiday,190.37,319,245,26.86,7.67,50.84
supermarket,bakery,breakfast,0,none,352.76,693,680,36.01,3.1,3.2
supermarket,bakery,breakfast,3,holiday,375.46,474,361,32.64,7.39,95.22
caterer,cooked_meals,breakfast,0,none,120.76,181,129,17.71,7.75,55.17
restaurant,other,dinner,5,none,317.06,658,599,19.92,4.6,29.64
hotel,meat_poultry,snack,2,holiday,126.96,296,167,16.05,4.12,74.52
caterer,cooked_meals,dinner,6,none,262.17,612,450,18.66,6.71,98.51
other,other,dinner,3,none,356.91,632,419,7.73,1.65,127.23
caterer,other,all_day,2,none,151.2,322,225,4.36,6.02,58.58
hotel,meat_poultry,dinner,6,none,282.12,362,350,8.45,6.25,22.7
caterer,bakery,breakfast,2,holiday,122.29,154,127,8.07,1.49,29.13
restaurant,cooked_meals,all_day,5,corporate,31.08,50,39,4.56,5.91,7.92
restaurant,cooked_meals,breakfast,0,none,368.37,511,323,27.21,2.35,177.28
other,cooked_meals,lunch,6,weekend_rush,262.09,345,342,36.56,4.21,3.95
supermarket,meat_poultry,dinner,0,none,174.41,226,210,2.2,7.89,20.66
restaurant,dairy,dinner,1,weekend_rush,86.42,131,99,10.07,5.71,18.96
other,cooked_meals,snack,4,none,29.37,52,41,4.0,6.92,0.44
caterer,cooked_meals,breakfast,2,none,59.38,87,81,7.64,3.86,2.19
other,dairy,lunch,5,corporate,31.97,71,44,0.67,1.81,14.12
hotel,cooked_meals,dinner,5,none,34.1,78,57,1.1,6.7,19.34
supermarket,other,all_day,0,weekend_rush,89.5,142,115,3.67,3.8,14.99
hotel,fresh_produce,snack,6,none,117.96,173,174,15.98,6.0,5.17
other,other,snack,1,none,310.91,642,468,40.1,2.49,83.55
restaurant,bakery,dinner,2,none,47.7,73,53,7.0,4.51,13.01
restaurant,cooked_meals,snack,3,holiday,119.06,229,165,7.99,1.71,44.97
supermarket,meat_poultry,snack,2,weekend_rush,284.77,649,624,32.6,6.62,6.69
supermarket,fresh_produce,lunch,4,none,182.47,392,301,13.85,6.7,46.61
restaurant,bakery,dinner,0,none,221.12,348,310,11.23,1.39,35.26
supermarket,bakery,breakfast,4,corporate,368.75,483,310,54.11,6.41,151.37
hotel,dairy,lunch,4,none,136.69,330,260,7.31,4.13,27.15
supermarket,dairy,snack,0,none,209.06,409,358,7.45,4.42,25.92
restaurant,bakery,all_day,5,weekend_rush,241.7,413,324,6.66,6.75,68.04
hotel,meat_poultry,lunch,0,none,109.06,242,194,5.26,1.24,23.84
supermarket,meat_poultry,lunch,0,wedding,395.87,782,744,0.23,8.0,19.78
restaurant,fresh_produce,dinner,3,none,273.45,569,508,25.45,5.47,36.38
supermarket,other,dinner,1,none,199.1,251,224,2.84,1.19,21.12
supermarket,dairy,breakfast,2,none,275.6,587,486,8.39,6.22,54.17
hotel,other,all_day,3,weekend_rush,26.02,37,37,2.83,5.55,0.0
supermarket,bakery,dinner,0,none,337.85,558,319,10.02,3.23,155.96
other,bakery,snack,5,none,325.03,454,443,34.0,5.5,8.68
supermarket,dairy,breakfast,1,holiday,99.54,232,153,9.71,1.63,40.56
other,cooked_meals,snack,2,none,172.86,411,406,9.09,6.41,3.03
restaurant,cooked_meals,lunch,0,corporate,157.41,279,237,4.17,7.69,37.27
supermarket,cooked_meals,snack,0,none,366.31,589,511,35.4,5.56,50.69
hotel,meat_poultry,lunch,1,corporate,210.11,371,315,2.88,4.9,39.78
hotel,cooked_meals,snack,2,none,368.69,550,357,25.55,7.32,182.05
caterer,other,dinner,2,none,262.53,486,278,10.07,3.55,146.95
caterer,meat_poultry,dinner,2,none,165.9,287,279,18.53,7.75,7.65
other,other,snack,1,holiday,153.07,353,250,10.16,4.4,50.77
restaurant,other,all_day,2,none,157.89,246,162,8.1,2.36,56.39
other,meat_poultry,lunch,4,none,280.3,410,384,18.6,5.68,19.42
restaurant,dairy,dinner,3,holiday,110.24,139,117,1.56,1.88,15.76
restaurant,other,snack,4,none,114.04,173,127,1.25,2.92,34.34
hotel,bakery,lunch,4,weekend_rush,86.63,214,172,5.81,4.13,21.11
restaurant,bakery,lunch,4,none,99.44,134,111,3.83,6.61,25.28
restaurant,fresh_produce,lunch,3,wedding,93.22,145,131,8.13,7.63,20.82
supermarket,dairy,all_day,4,none,30.58,61,36,3.71,2.96,8.6
supermarket,other,breakfast,3,corporate,283.49,356,268,18.74,7.0,55.0
restaurant,dairy,all_day,1,holiday,42.71,56,45,6.03,1.33,3.94
caterer,fresh_produce,snack,6,none,95.68,167,123,7.25,7.92,34.0
hotel,fresh_produce,dinner,1,none,185.71,401,303,26.22,7.17,53.44
caterer,meat_poultry,snack,5,none,230.03,515,445,0.73,6.06,37.68
hotel,other,all_day,1,weekend_rush,256.5,448,340,1.91,1.66,66.52
restaurant,meat_poultry,dinner,2,none,151.97,300,251,18.5,1.39,30.24
caterer,dairy,dinner,5,weekend_rush,311.21,469,372,45.23,6.0,92.05
supermarket,fresh_produce,all_day,0,none,220.71,489,438,0.33,2.36,35.5
supermarket,fresh_produce,dinner,6,none,125.24,293,288,8.34,7.24,6.47
restaurant,cooked_meals,breakfast,4,none,50.42,85,63,6.46,5.78,20.79
restaurant,fresh_produce,lunch,6,none,344.78,528,498,38.13,5.39,27.9
other,cooked_meals,all_day,6,none,399.45,974,845,33.23,7.31,73.08
other,cooked_meals,breakfast,6,holiday,209.88,494,226,17.6,3.35,150.48
restaurant,bakery,breakfast,6,wedding,111.46,159,162,4.93,2.81,3.29
restaurant,other,dinner,0,none,306.87,392,382,26.56,2.08,3.91
caterer,other,snack,4,none,166.86,293,266,22.06,1.55,20.4
caterer,meat_poultry,snack,2,holiday,377.92,543,347,26.68,1.34,185.8
supermarket,meat_poultry,dinner,0,none,134.63,243,200,2.37,2.76,26.8
other,dairy,breakfast,0,none,378.9,781,859,46.52,7.3,0.0
caterer,dairy,dinner,1,wedding,41.7,62,43,2.64,2.41,18.83
other,other,dinner,1,corporate,389.62,757,540,25.6,6.72,110.11
restaurant,meat_poultry,lunch,0,wedding,148.44,194,197,16.84,6.56,0.0
hotel,dairy,all_day,3,corporate,92.03,121,109,5.64,4.0,10.24
caterer,cooked_meals,dinner,1,none,44.92,64,67,2.61,6.57,1.08
other,fresh_produce,snack,5,none,321.22,627,496,40.02,5.0,77.54
other,other,lunch,1,none,269.07,545,480,0.65,3.61,36.04
caterer,meat_poultry,dinner,2,none,320.25,657,474,35.59,5.63,127.43
other,cooked_meals,lunch,1,none,29.45,73,64,3.99,2.87,0.0
hotel,fresh_produce,snack,4,none,108.19,158,131,1.45,4.06,25.76
other,bakery,dinner,4,holiday,303.38,732,424,25.01,7.0,149.88
caterer,fresh_produce,lunch,2,weekend_rush,150.95,325,251,0.09,2.67,47.73
supermarket,bakery,lunch,2,corporate,262.93,354,237,29.49,8.0,93.13
other,bakery,lunch,5,none,243.19,517,480,21.95,1.45,20.82
supermarket,bakery,all_day,1,weekend_rush,108.27,143,135,14.13,5.45,5.32
caterer,dairy,lunch,4,none,395.93,938,828,18.76,6.1,50.87
supermarket,bakery,lunch,3,holiday,234.43,415,343,24.21,2.82,41.5
caterer,meat_poultry,dinner,0,none,41.7,93,82,5.0,6.18,0.0
supermarket,meat_poultry,all_day,2,none,57.91,137,100,0.48,4.75,18.35
supermarket,bakery,dinner,0,holiday,324.06,419,257,2.91,4.62,133.93
caterer,bakery,all_day,1,none,214.38,279,202,31.13,7.4,79.04
restaurant,cooked_meals,lunch,1,none,365.59,765,765,3.93,2.59,0.0
restaurant,dairy,all_day,2,none,144.26,221,173,1.56,7.36,33.37
hotel,cooked_meals,lunch,0,none,291.75,554,540,18.71,6.13,9.67
supermarket,dairy,breakfast,1,none,204.54,300,242,0.15,7.56,33.4
caterer,meat_poultry,breakfast,2,none,195.02,256,224,26.22,6.65,38.11
supermarket,cooked_meals,lunch,5,none,278.62,374,250,14.89,2.92,107.89
hotel,bakery,all_day,3,weekend_rush,96.21,197,188,5.48,7.38,3.63
caterer,dairy,all_day,3,none,253.91,610,382,24.3,3.24,120.24
other,fresh_produce,lunch,2,none,189.36,451,477,8.68,5.15,0.0
other,fresh_produce,breakfast,0,holiday,75.87,110,77,5.33,7.21,24.3
hotel,meat_poultry,breakfast,6,none,213.4,404,347,28.9,6.95,46.34
caterer,cooked_meals,breakfast,5,none,83.64,151,143,6.38,6.05,5.45
restaurant,other,breakfast,1,none,353.41,849,744,42.53,3.44,53.9
hotel,other,snack,1,none,193.14,283,255,11.36,3.58,26.83
hotel,bakery,all_day,6,none,20.09,40,36,1.4,2.34,0.0
hotel,meat_poultry,breakfast,4,none,155.43,222,144,18.48,5.23,74.06
other,dairy,snack,5,wedding,21.11,52,52,2.27,7.04,4.02
supermarket,other,snack,4,holiday,121.09,190,116,1.42,5.82,42.54
restaurant,other,breakfast,0,none,353.74,579,495,6.35,6.62,58.08
restaurant,cooked_meals,lunch,0,weekend_rush,217.69,324,293,19.62,1.24,30.0
supermarket,cooked_meals,dinner,1,none,158.72,277,258,4.35,5.02,13.43
restaurant,bakery,lunch,0,none,117.97,209,229,10.44,4.67,0.0
supermarket,bakery,dinner,3,none,307.28,528,464,38.64,5.58,39.55
restaurant,other,snack,4,weekend_rush,398.54,836,726,39.7,4.7,47.18
other,fresh_produce,all_day,6,none,281.59,607,576,0.46,5.91,20.95
other,meat_poultry,snack,5,holiday,175.81,296,209,24.92,2.98,56.46
supermarket,other,lunch,2,holiday,257.98,386,253,36.13,6.04,79.46
other,meat_poultry,breakfast,3,wedding,110.92,216,192,5.3,6.12,20.02
restaurant,meat_poultry,snack,1,none,348.53,581,344,6.9,6.29,158.88
supermarket,meat_poultry,all_day,2,holiday,163.77,233,131,18.93,2.47,67.31
supermarket,meat_poultry,breakfast,3,none,316.43,446,471,28.72,4.92,0.0
restaurant,cooked_meals,breakfast,4,holiday,356.91,706,509,39.31,5.45,125.07
supermarket,other,breakfast,0,none,206.46,358,309,27.95,7.11,34.29
other,other,breakfast,3,none,60.82,138,111,4.0,4.79,10.76
supermarket,other,snack,4,holiday,61.81,79,54,0.43,4.81,17.5
caterer,fresh_produce,breakfast,2,wedding,82.54,117,109,10.22,1.39,6.74
supermarket,bakery,snack,4,none,336.62,436,450,49.59,7.88,0.0
other,meat_poultry,breakfast,2,none,330.46,586,441,2.41,4.14,85.94
supermarket,meat_poultry,lunch,3,none,76.03,184,154,8.71,7.95,9.9
restaurant,other,breakfast,1,none,354.78,580,449,50.55,4.88,87.94
caterer,meat_poultry,breakfast,0,none,81.07,102,89,7.78,1.9,8.43
caterer,other,snack,4,holiday,35.42,46,31,0.17,7.77,18.71
restaurant,dairy,snack,5,wedding,389.6,606,598,13.59,5.25,2.58
caterer,meat_poultry,dinner,2,corporate,271.4,548,382,7.67,1.39,109.03
other,other,all_day,1,corporate,370.36,774,459,23.6,1.9,152.08
hotel,bakery,all_day,2,corporate,231.54,351,284,24.52,2.64,64.87
caterer,bakery,snack,3,none,93.93,135,113,1.49,5.86,21.46
supermarket,fresh_produce,dinner,5,wedding,65.97,152,167,0.88,4.02,0.0
supermarket,meat_poultry,lunch,1,wedding,127.5,168,158,1.53,2.28,7.23
caterer,meat_poultry,dinner,2,none,26.98,39,31,2.35,4.53,0.39
hotel,fresh_produce,dinner,3,none,146.44,341,301,11.34,3.13,19.0
caterer,cooked_meals,dinner,3,none,93.33,209,209,9.14,2.04,10.94
other,fresh_produce,breakfast,3,none,272.22,408,376,8.59,1.16,14.95
hotel,dairy,all_day,2,none,126.25,279,269,12.21,3.38,7.35
hotel,meat_poultry,breakfast,6,none,336.76,704,595,25.12,1.66,74.91
caterer,dairy,breakfast,3,none,117.7,198,154,6.59,3.68,33.51
restaurant,fresh_produce,dinner,5,wedding,130.74,244,181,2.75,4.81,42.65
other,dairy,dinner,1,none,295.68,683,635,36.07,7.7,27.82
other,fresh_produce,all_day,4,none,123.25,254,204,17.61,3.83,40.11
caterer,cooked_meals,all_day,0,none,321.11,655,621,27.04,2.3,31.55
other,meat_poultry,lunch,6,none,148.33,239,185,16.05,5.6,41.16
supermarket,other,all_day,2,corporate,124.14,168,158,15.57,2.04,4.82
restaurant,meat_poultry,snack,1,holiday,131.12,174,114,18.91,4.21,60.37
restaurant,other,snack,5,wedding,60.0,95,75,2.3,5.73,13.39
hotel,meat_poultry,snack,5,none,332.18,807,842,19.56,3.39,0.0
restaurant,other,snack,5,none,381.53,587,578,12.81,7.53,12.08
hotel,dairy,snack,0,wedding,169.85,424,392,10.64,6.11,11.5
hotel,bakery,breakfast,3,none,339.2,491,378,29.52,7.33,103.09
supermarket,meat_poultry,breakfast,6,none,257.42,481,463,34.83,3.78,6.14
hotel,fresh_produce,all_day,3,corporate,389.06,676,509,40.3,4.59,134.36
supermarket,fresh_produce,breakfast,0,none,62.82,99,80,7.89,7.18,9.44
supermarket,meat_poultry,all_day,6,none,359.71,455,408,40.79,5.48,36.72
caterer,bakery,breakfast,3,none,47.45,103,76,4.76,4.34,22.2
hotel,other,all_day,4,none,155.86,305,198,8.0,6.39,71.11
other,other,dinner,1,none,239.59,342,197,3.37,6.38,104.77
hotel,dairy,breakfast,3,none,338.38,788,695,47.51,5.75,55.37
hotel,meat_poultry,lunch,3,none,290.28,659,543,34.65,3.38,66.73
caterer,other,dinner,6,holiday,32.7,59,46,4.77,2.56,1.51
supermarket,cooked_meals,all_day,4,weekend_rush,230.54,298,260,32.29,4.8,30.33
caterer,dairy,breakfast,1,none,352.35,563,355,8.59,5.72,171.93
supermarket,dairy,lunch,0,none,37.64,92,61,2.93,4.96,11.0
restaurant,meat_poultry,lunch,5,none,25.52,59,44,4.91,4.69,8.35
hotel,bakery,all_day,6,none,198.59,267,220,22.33,5.41,48.28
hotel,meat_poultry,all_day,1,none,31.71,42,44,0.12,5.07,0.0
hotel,meat_poultry,snack,0,none,267.86,387,361,1.52,1.86,20.75
restaurant,cooked_meals,all_day,6,none,60.66,88,84,2.03,1.4,6.93
caterer,cooked_meals,breakfast,0,none,216.06,430,470,13.35,6.09,0.0
other,dairy,snack,2,none,186.01,333,312,1.0,4.7,11.12
restaurant,dairy,all_day,5,wedding,165.57,221,243,11.54,6.75,0.0
hotel,other,lunch,6,weekend_rush,64.98,98,76,4.99,1.95,15.25
supermarket,meat_poultry,breakfast,2,none,41.03,85,80,0.05,6.87,0.0
hotel,bakery,dinner,0,none,226.57,342,242,1.84,4.2,85.45
restaurant,fresh_produce,dinner,6,none,298.11,538,456,36.92,2.93,57.73
hotel,fresh_produce,all_day,5,none,360.67,454,470,17.56,6.47,0.0
other,fresh_produce,breakfast,2,none,131.08,180,129,13.36,5.26,45.9
restaurant,meat_poultry,lunch,6,none,264.56,596,503,12.54,3.2,48.01
hotel,bakery,lunch,2,wedding,56.12,128,135,0.31,4.12,1.66
hotel,meat_poultry,all_day,4,none,200.64,367,291,11.48,1.99,56.75
caterer,other,lunch,6,wedding,151.38,323,295,18.77,7.4,14.83
caterer,other,dinner,1,corporate,242.85,481,266,8.52,1.59,144.15
other,other,dinner,2,none,367.65,679,616,44.38,5.31,36.07
hotel,dairy,dinner,3,none,142.77,194,149,14.71,7.39,36.07
hotel,cooked_meals,lunch,0,weekend_rush,258.41,512,372,28.51,3.12,102.2
hotel,meat_poultry,breakfast,1,none,173.77,408,360,21.97,3.79,28.89
caterer,other,lunch,5,wedding,193.4,255,202,11.91,2.61,50.8
supermarket,meat_poultry,snack,4,corporate,332.23,783,680,43.58,6.96,52.54
hotel,cooked_meals,lunch,2,weekend_rush,392.3,773,743,41.63,1.22,24.35
caterer,dairy,breakfast,2,none,384.9,568,522,13.54,4.36,47.95
caterer,fresh_produce,snack,3,weekend_rush,84.51,107,92,4.23,4.14,14.79
supermarket,cooked_meals,dinner,1,corporate,46.29,86,55,3.7,7.52,10.28
restaurant,dairy,breakfast,3,none,60.1,89,70,0.47,7.19,14.87
other,fresh_produce,all_day,5,none,141.67,185,132,5.26,6.65,42.17
caterer,other,breakfast,2,holiday,249.66,520,208,18.71,3.14,188.0
hotel,cooked_meals,breakfast,5,none,126.58,182,169,5.51,5.4,11.21
hotel,bakery,snack,0,none,60.98,120,63,4.35,6.53,44.23
other,dairy,snack,4,weekend_rush,224.81,436,352,21.75,3.62,43.16
restaurant,meat_poultry,lunch,5,none,370.01,700,554,5.72,7.6,81.18
